45366bda00fe44dab66bda00fea4da46: cold
096e33e789564b80ae33e789567b8042: warm
40933023af3d4f66933023af3daf6640: warm
78c1f77b8bde4ca581f77b8bdeaca5c5: warm
a810777c639b461190777c639b3611a6: warm
9e1fe287737b44899fe287737ba48918: warm
59c4a57717f8436c84a57717f8d36ca2: warm
b2fa16d22ac545d6ba16d22ac5a5d6e4: warm
a1f37fec20984161b37fec20983161bb: warm
3136e1310ac94549b6e1310ac97549f2: warm
5eb4ded822954fc1b4ded82295afc125: warm
6bd3e23d3d4547fb93e23d3d45c7fb7e: warm
19cbcc9eeb3044bd8bcc9eeb30f4bd72: warm
08f037c82fbd420fb037c82fbd420ffe: warm
d9384447c8d44311b84447c8d4d3113b: warm
bcfb12a74a2545d6bb12a74a2515d6a2: warm
1051de9c702d440891de9c702db408a0: warm
a0c1d02124a14e3b81d02124a15e3b2a: warm
65605d74bbce4dc2a05d74bbceedc25d: warm
586e3d4b9f034f39ae3d4b9f035f39d3: warm
99bc859929e945aabc859929e995aafc: warm
c20ec6e549bc42c08ec6e549bc12c0ba: warm
d67848829dd14808b848829dd15808ae: warm
0adac91503754d839ac91503754d832e: warm
cd0bddaec5814b978bddaec5813b97bd: warm
83072808550d4766872808550d4766b9: warm
27b59f8a0e89444cb59f8a0e89644c27: warm
defd4df975204dc1bd4df97520cdc14e: warm
eb57a10ef3a1452697a10ef3a17526e0: warm
e9a1f8e1a97946b3a1f8e1a979c6b32a: warm
95a16abc852145b6a16abc852185b616: warm
9e753e8ab09646beb53e8ab096a6be7f: warm
802d0232ec2d414aad0232ec2d614a9d: warm
2a6b1747d9514b30ab1747d951cb3065: warm
55f3adb022924ac4b3adb02292cac405: warm
ef0a9f97ec4349c28a9f97ec43e9c265: warm
1ac4fd624e0a40c084fd624e0aa0c0af: warm
a231d3de5626418bb1d3de5626318b8b: warm
2ffe7527e6e64307be7527e6e65307b0: warm
b00d36e082c5492d8d36e082c5392dd7: warm
eb9a1a950dbc41849a1a950dbcd184b7: warm
2bbf422c1a61475abf422c1a61475a07: warm
62ac21a947db4229ac21a947dba22938: warm
4b80819bba45421d80819bba45721d4a: warm
f82327c3642740d4a327c3642770d41d: warm
7beab402340142a8aab4023401e2a8a2: warm
6c546855d7db437f946855d7db437f79: warm
9395a95f616f43c895a95f616fa3c8a9: warm
f81d2f4c30a44f539d2f4c30a46f53f7: warm
f43db193d24840cdbdb193d24850cd55: warm
84e766e664f848ffa766e664f838ff62: warm
5bdcebeeeb7546139cebeeeb7576135a: warm
aa6090968afa4abca090968afa5abc85: warm
eb8ae6a4b1ce42df8ae6a4b1ceb2dfd1: warm
3d8545c22a004f958545c22a001f9502: warm
8ef6fd3395fe4a09b6fd3395feda09fc: warm
ae64575837314b4da4575837318b4d53: warm
b427734d44634f05a7734d44631f05b3: warm
baa65da361674d87a65da361679d871a: warm
09354bd1d7e54f4eb54bd1d7e51f4e0f: warm
5cc383ccddab49a88383ccddab79a85d: warm
0c2185defb1d42c1a185defb1de2c1bc: warm
06f712b67ed0485eb712b67ed0a85eb9: warm
812c6dac9f7c467aac6dac9f7c767a31: warm
3dd9694386154aac9969438615daac91: warm
764df6bda9584f968df6bda9585f9689: warm
e95b729919d04ab49b729919d05ab4b9: warm
60f85fff3697497bb85fff3697c97b9e: warm
92b59cc3918d44b1b59cc3918d24b1e6: warm
14979f37efa745c9979f37efa745c9c7: warm
7e5d81ea895741b09d81ea8957a1b0fc: warm
1c53a78e15c4456193a78e15c4156146: warm
7db7f07c3865493db7f07c3865593dd8: warm
1822004b0563400fa2004b0563400f69: warm
181f1856f4b24ec99f1856f4b2bec9a4: warm
4a33d6d0191340c1b3d6d0191390c197: warm
7f01be7b0eb742b181be7b0eb722b1b5: warm
5ba861b924aa40c2a861b924aa20c26b: warm
cd90421debb349cd90421debb379cd80: warm
90bb7729bebd4dd8bb7729bebdfdd8d3: warm
b0de7eb909da43879e7eb909dab38758: warm
0a345450ab5243e1b45450ab52c3e187: warm
d4c8f0cb64e642c288f0cb64e632c294: warm
604c24f7e4c441348c24f7e4c4f13414: warm
