4b04dd5d4a1041ef84dd5d4a10c1ef6b: cold
a235edc1feac41a4b5edc1feacc1a416: warm
2ab21677e8a8447db21677e8a8447dcb: warm
5e0bd6b4761f46ec8bd6b4761f66ece8: warm
365932f6848f47fc9932f6848f67fc41: warm
9eb7b8d0d6624c0bb7b8d0d6624c0b2e: warm
46e4e3cc7d714ea0a4e3cc7d719ea0e3: warm
332fb9a7c6694784afb9a7c6697784b9: warm
72a656954e954009a656954e95b009d3: warm
0ad955793e7441279955793e741127bf: warm
ed778208d7fa4affb78208d7fafaffdc: warm
bda7da56a2c64ea2a7da56a2c6eea2d5: warm
e0f970bea63d4525b970bea63d65251b: warm
7a8ff2669e3741e38ff2669e3701e31e: warm
157f680c49fa4cfcbf680c49fa2cfc49: warm
d561e8c6dd2c439ba1e8c6dd2cf39b86: warm
81bf65384b6e4df5bf65384b6e6df581: warm
be5856dbe0da4ad59856dbe0dadad55f: warm
96607182df7f4790a07182df7ff790f8: warm
d11fab4bf79b464e9fab4bf79b364e01: warm
32fda7fc35884cf5bda7fc3588ecf538: warm
a48d44bc72374e688d44bc7237ce6817: warm
1c618e17d93f45efa18e17d93fd5ef22: warm
a588e361c7664ef188e361c7666ef16e: warm
14b51b3f8730417eb51b3f8730617ea9: warm
e55f489241d840889f489241d8008880: warm
09d96c63d1a04906996c63d1a0f906e1: warm
994c0383327f44178c0383327f3417ab: warm
7916fb781ce046fc96fb781ce006fc22: warm
7bd3e8286de54bcb93e8286de5fbcb97: warm
3566e74245304a5aa6e7424530fa5add: warm
f31a4e0ebfec46d09a4e0ebfecc6d031: warm
